episode,reward,steps,epsilon,avg_10
1,10.0,10,0.995,10.0
2,21.0,21,0.990025,15.5
3,31.0,31,0.985074875,20.666666666666668
4,58.0,58,0.9801495006250001,30.0
5,10.0,10,0.9752487531218751,26.0
6,28.0,28,0.9703725093562657,26.333333333333332
7,11.0,11,0.9655206468094844,24.142857142857142
8,19.0,19,0.960693043575437,23.5
9,10.0,10,0.9558895783575597,22.0
10,26.0,26,0.9511101304657719,22.4
11,30.0,30,0.946354579813443,24.4
12,61.0,61,0.9416228069143757,28.4
13,51.0,51,0.9369146928798039,30.4
14,19.0,19,0.9322301194154049,26.5
15,17.0,17,0.9275689688183278,27.2
16,28.0,28,0.9229311239742362,27.2
17,12.0,12,0.918316468354365,27.3
18,10.0,10,0.9137248860125932,26.4
19,28.0,28,0.9091562615825302,28.2
20,20.0,20,0.9046104802746175,27.6
