epoch,avg_reward,max_reward,min_reward,std_reward,exploration_noise
1,-99.0938776550468,-89.17440841643361,-117.6782888849233,13.151139753508211,0.2
2,-93.04478109248038,-74.56281669576161,-104.19669263956922,13.161532508210449,0.2
3,-87.64511207769908,-52.74427141759166,-113.3700770031526,25.5867100574747,0.1996
4,-63.36524865839135,-41.52864114911159,-104.62184357942142,29.189495616658846,0.1992008
5,-50.021928700362615,-24.22524488215006,-96.93310948763467,33.22624344866256,0.19880239840000002
6,-55.92010220134864,-21.911903140217184,-116.2219162983695,42.755976496191956,0.1984047936032
7,-109.36968665891601,-99.67634302984415,-115.55568347723151,6.940916101841319,0.19800798401599362
8,-56.557602790281514,-26.065407228958133,-92.91331714572449,27.603700289958383,0.19761196804796163
9,-36.23198667887126,-25.22745548879897,-44.604753336452106,8.126686753531054,0.1972167441118657
10,-63.30004160782514,-44.99366945781041,-98.13634878252708,24.64366254425537,0.19682231062364197
11,-59.013064525300955,-24.36889489939488,-99.06471873260188,30.733230567296268,0.1964286660023947
12,-89.66327985335185,-30.61565601736064,-122.24084964517398,41.82735825317759,0.19603580867038992
13,-69.84084085448079,-42.518504757876805,-115.72492460043433,32.6414749808665,0.19564373705304913
14,-98.95175369606964,-97.25973912241581,-99.8117042656164,1.19648914279117,0.19525244957894303
15,-60.53236626305921,-26.130989060308625,-114.42415018372408,38.590392075520896,0.19486194467978515
16,-102.93751254141006,-93.53933925593897,-115.78050318388715,9.400972225779386,0.1944722207904256
17,-52.466892483237096,-24.835875357679456,-98.6860102804015,32.88970175155545,0.19408327634884473
18,-53.597767250070994,-27.337269130291528,-101.09810431814587,33.65029242878976,0.19369510979614704
19,-72.29908041687297,-40.70062842177198,-124.96913922203875,37.490487133779645,0.19330771957655474
20,-66.18631555391526,-47.273713868905965,-101.90985795899488,25.274926391960435,0.19292110413740163
21,-52.95928143666051,-29.14782184766984,-100.24536809418457,33.43659529690851,0.19253526192912682
22,-96.27506248006175,-38.488313606089015,-140.0638895411969,42.632974467704784,0.19215019140526857
23,-73.48872210502779,-52.86105042570643,-100.63211610069177,20.039289024459006,0.19176589102245803
24,-62.291228581290504,-34.987885141908194,-99.16158577346135,27.058107562510543,0.1913823592404131
25,-84.30923818243618,-32.938426776302755,-114.86574647812363,36.54173722253529,0.19099959452193227
