epoch,avg_reward,max_reward,min_reward,best_reward
1,-112.6057730061254,-109.33975706906055,-120.62439139377014,-112.6057730061254
2,-105.41552240371246,-101.9534868223661,-112.14391226861999,-105.41552240371246
3,-112.1271671408499,-108.28612250042956,-119.06632475017008,-105.41552240371246
4,-109.97132711420916,-105.32562408447949,-114.37473099412024,-105.41552240371246
5,-110.63282532297299,-108.55919351353124,-112.20884046419089,-105.41552240371246
6,-111.53744123688043,-109.22402801269666,-114.74928026085968,-105.41552240371246
7,-110.49651005671919,-106.18807315891608,-112.9141434084593,-105.41552240371246
8,-109.19888976417656,-101.3757817985968,-114.29198002211439,-105.41552240371246
9,-109.07793467802728,-104.23598215810334,-115.21961003451234,-105.41552240371246
10,-111.2552532355152,-108.88312947863588,-114.27120183706344,-105.41552240371246
