epoch,avg_reward,max_reward,min_reward,best_reward
1,-223.4314363350913,-69.80964799719459,-397.80557638780226,-223.4314363350913
2,-175.5040332083939,-38.470958236445995,-355.3034870465789,-175.5040332083939
3,-158.24829235501903,-9.54286474531439,-376.39639869965424,-158.24829235501903
4,-182.33292192732733,-33.43213395422076,-384.50870281127726,-158.24829235501903
5,-164.94409499906413,-75.107542086783,-395.871185879271,-158.24829235501903
6,-114.89370671037766,-13.356704027783238,-266.48971952328384,-114.89370671037766
7,-166.1666203625303,-82.26507492209471,-423.2200101753316,-114.89370671037766
8,-202.82145868502013,6.2480788298129255,-508.62907694956755,-114.89370671037766
9,-205.8428786315364,-55.33008446345373,-374.39407074082305,-114.89370671037766
10,-165.3055552365497,39.649151249769204,-272.2481267722251,-114.89370671037766
